name,hasCustomObject,keyPrefix,label,labelPlural,createable,updateable,deletable,activateable,associateEntityType,associateParentEntity,compactLayoutable,custom,customSetting,deepCloneable,defaultImplementation,deprecatedAndHidden,feedEnabled,hasSubtypes,idEnabled,implementedBy,implementsInterfaces,isInterface,isSubtype,layoutable,mergeable,mruEnabled,networkScopeFieldName,queryable,replicateable,retrieveable,searchable,undeletable,DescribeFields,searchLayoutable,triggerable,RecordTypeInfos
AuraDefinitionInfo,,0ad,Aura Definition Info,Aura Definition Infos,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
AuthConfig,,07T,Authentication Configuration,Authentication Configurations,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuthConfigProviders,,07U,Authentication Configuration Auth. Provider,Authentication Configuration Auth. Providers,true,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuthorizationForm,true,0cI,Authorization Form,Authorization Forms,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AuthorizationFormConsent,true,0cK,Authorization Form Consent,Authorization Form Consents,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AuthorizationFormDataUse,true,0cM,Authorization Form Data Use,Authorization Form Data Uses,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AuthorizationFormText,true,0cN,Authorization Form Text,Authorization Form Texts,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
AuthProvider,,0SO,Auth. Provider,Auth. Providers,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AuthProvParamFwdAllowlist,,1Dg,Auth Provider Param Forwarding Allowlist,Auth Provider Param Forwarding Allowlists,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
AVSFQB__Invoices__c,true,a3S,Receivable,Receivables,true,true,true,false,,,true,true,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
BatchApexErrorEvent,,1QQ,Batch Apex Error Platform Event,Batch Apex Error Platform Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
BatchCalcJobDefinition,,9N1,Batch Calculation Job Definition,Batch Calculation Job Definition,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BatchCalcJobDefinitionView,,9NZ,Batch Calculation Job Definition View,Batch Calculation Job Definition Views,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
BatchDataSource,,0mc,Batch Data Source,Batch Data Sources,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BatchDataSrcFilterCriteria,,0mg,Batch Data Source Filter Criteria,Batch Data Source Filter Criterias,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BatchJob,true,0md,Batch Job,Batch Jobs,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
BatchJobDefinition,,0ma,Batch Job Definition,Batch Job Definition,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BatchJobPart,true,0me,Batch Job Part,Batch Job Parts,false,false,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,true,
BatchJobPartFailedRecord,true,0mf,Batch Job Part Failed Record,Batch Job Part Failed Records,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,true,
BatchJobStatusChangedEvent,,9NE,Batch Job Status Changed Event,Batch Job Status Changed Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
BatchProcessJobDefinition,,0mh,Batch Process Job Definition,Batch Process Job Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BatchProcessJobDefView,,0mi,Batch Process Job Definition View,Batch Process Job Definition Views,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,true,false,false,false,false,,,,
BrandingSet,,0Lw,Branding Set,Branding Sets,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BrandingSetProperty,,0Ly,Branding Set Property,Branding Set Properties,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BrandTemplate,,016,Letterhead,Letterheads,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
BriefcaseAssignment,,5LH,Briefcase Assignment,Briefcase Assignments,true,false,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
BriefcaseDefinition,,1rY,Briefcase Definition,Briefcase Definitions,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BriefcaseRule,,1rX,Briefcase Rule,Briefcase Rules,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BriefcaseRuleFilter,,1rZ,Briefcase Rule Filter,Briefcase Rule Filters,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BroadcastTopic,true,0uK,Broadcast Topic,Broadcast Topics,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
BroadcastTopicCollabRoom,true,0uL,Broadcast Topic Collaboration Room,Broadcast Topic Collaboration Rooms,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
BroadcastTopicUserRole,true,0uM,Broadcast Topic User Role,Broadcast Topic User Roles,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,true,,,true,
BrowserPolicyViolation,,19y,Browser Policy Violation,Browser Policy Violations,false,false,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,false,true,false,false,,,,
BusinessBrand,true,1BU,Business Brand,Business Brands,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,true,
BusinessHours,,01m,Business Hours,Business Hours,true,true,false,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,false,,,,
BusinessProcess,,019,Business Process,Business Process,true,true,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,true,true,false,false,,,,
BusinessProcessTypeDef,,0tW,Business Process Type Definition,Business Process Type Definitions,true,true,true,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
BusProcessFeedbackConfig,,0Gc,Business Process Feedback Configuration,Business Process Feedback Configurations,false,false,false,false,,,false,false,false,false,,false,false,false,true,,,false,false,false,false,false,,true,false,true,false,false,,,,
CalcInsightStatusEvent,,1e3,Calculated Insight Status Event,Calculated Insight Status Events,false,false,false,false,,,false,false,false,false,,false,false,false,false,,,false,false,false,false,false,,false,false,false,false,false,,,true,
CalcMatrixColumnRange,true,9QX,Decision Matrix Column Range,Decision Matrix Column Ranges,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,,
CalcProcStepRelationship,true,06Z,Expression Set Step Relationship,Expression Set Step Relationships,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,,
CalculationMatrix,true,0lI,Decision Matrix,Decision Matrices,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,true,,true,true,true,true,true,,true,,
CalculationMatrixColumn,true,0lJ,Decision Matrix Column,Decision Matrix Columns,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,,
CalculationMatrixRow,true,9mt,Decision Matrix Row,Decision Matrix Rows,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,true,true,,true,,
CalculationMatrixVersion,true,0lN,Decision Matrix Version,Decision Matrix Versions,true,true,true,false,,,true,false,false,false,,false,false,false,true,,,false,false,true,false,false,,true,true,true,false,true,,,,
